Registry Key,Change Type,Value Name,Value Data,Value Type,Value Data Changed To,Value Type Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0,Added Key,,,,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0,Added Value,,{2}.\\?\hdaudio#func_01&ven_8384&dev_7680&subsys_83847680&rev_1034#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\espeakertopo/00010001|\Device\HarddiskVolume2\Program Files\Mozilla Firefox\firefox.exe%b{00000000-0000-0000-0000-000000000000},REG_SZ,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Key,,,,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Value,3,04 00 00 00 00 00 00 00 00 00 80 3F 00 00 00 00 ,REG_BINARY,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Value,4,04 20 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 80 3F 00 00 80 3F ,REG_BINARY,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Internet Explorer\LowRegistry\Audio\PolicyConfig\PropertyStore\bb0e5880_0\{219ED5A0-9CBF-4F3A-B927-37C9E5C5F14F},Added Value,5,0B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ,REG_BINARY,,,,10/02/2018 05:43:42
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\CloudPolicy\OneSettings,Modified Value,RefreshAfter,131628019420260763,REG_QWORD,131627724999378627,REG_QWORD,10/02/2018 05:52:22,10/02/2018 05:23:39
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\CloudPolicy\OneSettings,Added Value,ETag,978:E1E175E7DC165357,REG_SZ,,,10/02/2018 05:52:22,10/02/2018 05:23:39
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Isolated\Jv5VmgyHm8yFXwmnilXNQtQZyzeQ60i58NJfotkHUME,Removed Key,,,,,,10/02/2018 05:50:55,
HKEY_CURRENT_USER\Software\Microsoft\Speech_OneCore\Settings\SpeechRecognizer,Removed Key,,,,,,10/02/2018 05:50:55,
