Registry Key,Change Type,Value Name,Value Data,Value Type,Value Data Changed To,Value Type Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_NDISWANIP\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,Modified Value,,AB A2 5F 46 31 A2 D3 01 ,,EE 73 54 20 32 A2 D3 01 ,,10/02/2018 05:37:44,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_NDISWANIPV6\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:12,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_NDISWANIPV6\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,CE 3A 4F 33 31 A2 D3 01 ,,D0 00 43 EE 31 A2 D3 01 ,,10/02/2018 05:37:12,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_NDISWANIPV6\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,Modified Value,,AB A2 5F 46 31 A2 D3 01 ,,EE 73 54 20 32 A2 D3 01 ,,10/02/2018 05:37:44,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_PPPOEMINIPORT\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:12,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_PPPOEMINIPORT\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,ED D3 4C 33 31 A2 D3 01 ,,98 9A 40 EE 31 A2 D3 01 ,,10/02/2018 05:37:12,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_PPPOEMINIPORT\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,Modified Value,,AB A2 5F 46 31 A2 D3 01 ,,EE 73 54 20 32 A2 D3 01 ,,10/02/2018 05:37:44,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_PPTPMINIPORT\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:12,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_PPTPMINIPORT\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,ED D3 4C 33 31 A2 D3 01 ,,98 9A 40 EE 31 A2 D3 01 ,,10/02/2018 05:37:12,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_PPTPMINIPORT\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,Modified Value,,AB A2 5F 46 31 A2 D3 01 ,,EE 73 54 20 32 A2 D3 01 ,,10/02/2018 05:37:44,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_SSTPMINIPORT\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,34 51 5A F1 31 A2 D3 01 ,,FE 7F 39 EE 31 A2 D3 01 ,,10/02/2018 05:42:31,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\MS_SSTPMINIPORT\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,Modified Value,,EA B6 5C F1 31 A2 D3 01 ,,71 9F 4F 20 32 A2 D3 01 ,,10/02/2018 05:42:31,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0}\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,6D E3 57 F1 31 A2 D3 01 ,,FE 7F 39 EE 31 A2 D3 01 ,,10/02/2018 05:42:31,10/02/2018 05:42:25
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\MSRRAS\{5e259276-bc7e-40e3-b93b-8f89b5f3abc0}\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0067,Modified Value,,EA B6 5C F1 31 A2 D3 01 ,,EE 73 54 20 32 A2 D3 01 ,,10/02/2018 05:42:31,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\PRINTENUM\PrintQueues\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,40 38 0A F8 31 A2 D3 01 ,,DA 91 D1 F4 31 A2 D3 01 ,,10/02/2018 05:42:42,10/02/2018 05:42:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\PRINTENUM\{4A0FDB13-384A-4D66-8671-B30F8B7CB829}\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,D5 E2 0E F8 31 A2 D3 01 ,,D5 3D D6 F4 31 A2 D3 01 ,,10/02/2018 05:42:42,10/02/2018 05:42:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\PRINTENUM\{5773447B-E8C0-4222-B104-7AE5DAAA89BF}\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,34 71 0C F8 31 A2 D3 01 ,,D5 3D D6 F4 31 A2 D3 01 ,,10/02/2018 05:42:42,10/02/2018 05:42:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\PRINTENUM\{BFF25484-58E0-424E-B3A6-E74E870648ED}\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,34 71 0C F8 31 A2 D3 01 ,,D5 3D D6 F4 31 A2 D3 01 ,,10/02/2018 05:42:42,10/02/2018 05:42:36
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,B7 35 AC F0 31 A2 D3 01 ,,50 CB 82 EC 31 A2 D3 01 ,,10/02/2018 05:42:29,10/02/2018 05:42:22
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\USB\ROOT_HUB\4&24d6eb65&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,D1 DB 74 EF 31 A2 D3 01 ,,B0 F9 17 EA 31 A2 D3 01 ,,10/02/2018 05:42:27,10/02/2018 05:42:18
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\USB\VID_80EE&PID_0021\5&18f54cb7&0&1\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,A0 D5 D0 EF 31 A2 D3 01 ,,38 BF 78 EA 31 A2 D3 01 ,,10/02/2018 05:42:28,10/02/2018 05:42:19
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Modified Value,Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy,35 4C 14 22 32 A2 D3 01 00 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 ,REG_BINARY,85 E0 ED 1F 32 A2 D3 01 00 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 ,REG_BINARY,10/02/2018 05:43:53,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Modified Value,SequenceNumber,6,REG_DWORD,8,REG_DWORD,10/02/2018 05:43:53,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Modified Value,Microsoft.Windows.Cortana_cw5n1h2txyewy,33 5D 33 22 32 A2 D3 01 00 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 ,REG_BINARY,13 D1 24 20 32 A2 D3 01 00 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 ,REG_BINARY,10/02/2018 05:43:53,10/02/2018 05:43:49
HKEY_LOCAL_MACHINE\System\ControlSet001\Services\bam\UserSettings\S-1-5-21-2119625379-2900472558-1849789986-1001,Modified Value,\Device\HarddiskVolume2\Windows\explorer.exe,36 71 46 22 32 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,DD E2 18 20 32 A2 D3 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 ,REG_BINARY,10/02/2018 05:43:53,10/02/2018 05:43:49
