Registry Key,Change Type,Value Name,Value Data,Value Type,Value Data Changed To,Value Type Changed To,Key Modified Time 1,Key Modified Time 2
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\ACPI0003\0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\ACPI0003\0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,72 B8 F9 2F 31 A2 D3 01 ,,9B B0 E4 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\FixedButton\2&daba3ff&0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\FixedButton\2&daba3ff&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,62 57 F7 2F 31 A2 D3 01 ,,36 39 CF 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\GenuineIntel_-_x86_Family_6_Model_94_-_Intel(R)_Core(TM)_i7-6700K_CPU_@_4.00GHz\_0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\GenuineIntel_-_x86_Family_6_Model_94_-_Intel(R)_Core(TM)_i7-6700K_CPU_@_4.00GHz\_0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,62 57 F7 2F 31 A2 D3 01 ,,36 39 CF 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0000\4&1d401fb5&0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0000\4&1d401fb5&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,72 B8 F9 2F 31 A2 D3 01 ,,9B B0 E4 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0100\4&1d401fb5&0\Properties\{80497100-8c73-48b9-aad9-ce387e19c56e}\0006,Modified Value,,01 00 00 00 ,REG_MULTI_SZ,02 00 00 00 ,REG_MULTI_SZ,10/02/2018 05:37:06,10/02/2018 05:42:16
HKEY_LOCAL_MACHINE\System\ControlSet001\Enum\ACPI\PNP0100\4&1d401fb5&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0066,Modified Value,,72 B8 F9 2F 31 A2 D3 01 ,,9B B0 E4 28 33 A2 D3 01 ,,10/02/2018 05:37:06,10/02/2018 05:51:13
