"167","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB\\shell\\open\\ddeexec","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"168","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxHTML-308046B0AF4A39CB\\shell\\open\\ddeexec",\N,"","","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"169","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"170","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB",\N,"","Firefox URL","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"171","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB",\N,"FriendlyTypeName","Firefox URL","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"172","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB",\N,"URL Protocol","","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"173","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB",\N,"EditFlags","2","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"174","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\DefaultIcon","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"175","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\DefaultIcon",\N,"","C:\\Program Files\\Mozilla Firefox\\firefox.exe,1","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"176","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\shell","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"177","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\shell",\N,"","open","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"178","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\shell\\open","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"179","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\shell\\open\\command","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"180","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\shell\\open\\command",\N,"","\"C:\\Program Files\\Mozilla Firefox\\firefox.exe\" -osint -url \"%1\"","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"181","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\shell\\open\\ddeexec","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"182","HKEY_LOCAL_MACHINE\\Software\\Classes\\FirefoxURL-308046B0AF4A39CB\\shell\\open\\ddeexec",\N,"","","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"221","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"222","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB",\N,"","Mozilla Firefox","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"223","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"224","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities",\N,"ApplicationDescription","Firefox delivers safe, easy web browsing. A familiar user interface, enhanced security features including protection from online identity theft, and integrated search let you get the most out of the web.","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"225","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities",\N,"ApplicationIcon","C:\\Program Files\\Mozilla Firefox\\firefox.exe,0","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"226","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities",\N,"ApplicationName","Firefox","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"227","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\FileAssociations","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"228","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\FileAssociations",\N,".htm","FirefoxHTML-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"229","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\FileAssociations",\N,".html","FirefoxHTML-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"230","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\FileAssociations",\N,".shtml","FirefoxHTML-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"231","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\FileAssociations",\N,".xht","FirefoxHTML-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"232","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\FileAssociations",\N,".xhtml","FirefoxHTML-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"233","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\StartMenu","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"234","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\StartMenu",\N,"StartMenuInternet","Firefox-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"235","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\URLAssociations","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"236","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\URLAssociations",\N,"ftp","FirefoxURL-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"237","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\URLAssociations",\N,"http","FirefoxURL-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"238","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\Capabilities\\URLAssociations",\N,"https","FirefoxURL-308046B0AF4A39CB","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"239","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\DefaultIcon","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"240","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\DefaultIcon",\N,"","C:\\Program Files\\Mozilla Firefox\\firefox.exe,0","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"241","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\InstallInfo","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"242","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\InstallInfo",\N,"HideIconsCommand","\"C:\\Program Files\\Mozilla Firefox\\uninstall\\helper.exe\" /HideShortcuts","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"243","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\InstallInfo",\N,"ShowIconsCommand","\"C:\\Program Files\\Mozilla Firefox\\uninstall\\helper.exe\" /ShowShortcuts","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"244","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\InstallInfo",\N,"ReinstallCommand","\"C:\\Program Files\\Mozilla Firefox\\uninstall\\helper.exe\" /SetAsDefaultAppGlobal","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"245","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\InstallInfo",\N,"IconsVisible","1","1","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"246","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"247","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\open","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"248","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\open\\command","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"249","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\open\\command",\N,"","\"C:\\Program Files\\Mozilla Firefox\\firefox.exe\"","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"250","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\properties","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"251","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\properties",\N,"","Firefox &Options","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"252","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\properties\\command","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"253","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\properties\\command",\N,"","\"C:\\Program Files\\Mozilla Firefox\\firefox.exe\" -preferences","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"254","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\safemode","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"255","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\safemode",\N,"","Firefox &Safe Mode","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"256","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\safemode\\command","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"257","HKEY_LOCAL_MACHINE\\Software\\Clients\\StartMenuInternet\\Firefox-308046B0AF4A39CB\\shell\\safemode\\command",\N,"","\"C:\\Program Files\\Mozilla Firefox\\firefox.exe\" -safe-mode","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"319","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\App Paths\\firefox.exe","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"320","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\App Paths\\firefox.exe",\N,"","C:\\Program Files\\Mozilla Firefox\\firefox.exe","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"321","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\App Paths\\firefox.exe",\N,"Path","C:\\Program Files\\Mozilla Firefox","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"370","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)","2","","",\N,"",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"371","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"Comments","Mozilla Firefox 58.0.2 (x86 en-US)","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"372","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"DisplayIcon","C:\\Program Files\\Mozilla Firefox\\firefox.exe,0","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"373","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"DisplayName","Mozilla Firefox 58.0.2 (x86 en-US)","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"374","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"DisplayVersion","58.0.2","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"375","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"HelpLink","https://support.mozilla.org","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"376","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"InstallLocation","C:\\Program Files\\Mozilla Firefox","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
"377","HKEY_LOCAL_MACHINE\\Software\\Microsoft\\Windows\\CurrentVersion\\Uninstall\\Mozilla Firefox 58.0.2 (x86 en-US)",\N,"Publisher","Mozilla","2","",\N,"0000-00-00 00:00:00","2018-02-10 05:43:24"
